clusterId,conceptName,requiredIngredient,identity,family,state,selectedProductId,quantity,unit,reason
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Рис","Рис","step092_rice","EXACT_PRODUCT_ALREADY_RESOLVED","step092_rice","230","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Вода","вода","вода","PROCESS_INPUT_ACCOUNTED","","650","ML","explicit non-purchased process medium"
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Молоко","молоко","молоко","CANONICAL_FAMILY_DEFAULT_SELECTED","milk_2_5pct","600","ML","owner synthesis default recipe-synthesis-product-policy/v2 selected exact accepted Product"
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Сахар","Сахар","sugar_white","EXACT_PRODUCT_ALREADY_RESOLVED","sugar_white","30","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Сливочное масло","Сливочное масло","butter","EXACT_PRODUCT_ALREADY_RESOLVED","butter","50","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Молоко","молоко","молоко","CANONICAL_FAMILY_DEFAULT_SELECTED","milk_2_5pct","600","ML","owner synthesis default recipe-synthesis-product-policy/v2 selected exact accepted Product"
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Круглый рис","Круглый рис","round_rice_dry","EXACT_PRODUCT_ALREADY_RESOLVED","round_rice_dry","200","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Сахар","Сахар","sugar_white","EXACT_PRODUCT_ALREADY_RESOLVED","sugar_white","2","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Сливочное масло","Сливочное масло","butter","EXACT_PRODUCT_ALREADY_RESOLVED","butter","40","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Круглый рис","Круглый рис","round_rice_dry","EXACT_PRODUCT_ALREADY_RESOLVED","round_rice_dry","1","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Тыква","Тыква","pumpkin_raw","EXACT_PRODUCT_ALREADY_RESOLVED","pumpkin_raw","300","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Вода","вода","вода","PROCESS_INPUT_ACCOUNTED","","2","","explicit non-purchased process medium"
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Молоко","молоко","молоко","CANONICAL_FAMILY_DEFAULT_SELECTED","milk_2_5pct","1","","owner synthesis default recipe-synthesis-product-policy/v2 selected exact accepted Product"
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Сахар","Сахар","sugar_white","EXACT_PRODUCT_ALREADY_RESOLVED","sugar_white","100","G","accepted resolver supplied concrete product with nutrition authority"
