ingredient,cohortOccurrences,clusterCount,wholeCorpusOccurrences,affectedClusters,authorityStatus,productAdded,productId,unlockImpact
"ванилин","5","4","11","dcluster_2dbd8026e4ec49c120d7d861|dcluster_debfa1e7f6da282a21155820|dcluster_373bb4326fab32d1fd0f4cf4|dcluster_b0fa5e075d9cfef5676aed33","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","COVERAGE_ONLY"
"куриное филе","4","3","15","dcluster_ef4cf8d013ec44fb25101069|dcluster_e2681d3f3c9edc2aae185eee|dcluster_6ad1983ad0c83f50b3bc5339","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","NEAR_UNLOCK"
"ванильный сахар","3","2","6","dcluster_373bb4326fab32d1fd0f4cf4|dcluster_b0fa5e075d9cfef5676aed33","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","COVERAGE_ONLY"
"сахар ванильный","2","2","2","dcluster_2dbd8026e4ec49c120d7d861|dcluster_b0fa5e075d9cfef5676aed33","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","COVERAGE_ONLY"
"апельсиновая цедра","1","1","1","dcluster_fe53ae043896783cc724a3b8","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","NEAR_UNLOCK"
"вустерширский соус","1","1","2","dcluster_ef4cf8d013ec44fb25101069","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","NEAR_UNLOCK"
"зелень","1","1","14","dcluster_e2681d3f3c9edc2aae185eee","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","COVERAGE_ONLY"
"или ванильный сахар","1","1","1","dcluster_373bb4326fab32d1fd0f4cf4","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","COVERAGE_ONLY"
"лимонный сок","1","1","15","dcluster_ef4cf8d013ec44fb25101069","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","NEAR_UNLOCK"
"масло растительное рафинированное","1","1","1","dcluster_373bb4326fab32d1fd0f4cf4","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","COVERAGE_ONLY"
"масло растительное сливочное","1","1","1","dcluster_87b96a2fc22b24da2b6baa44","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","DIRECT_UNLOCK_CANDIDATE"
"масло сливочное для смазывания формы","1","1","1","dcluster_2dbd8026e4ec49c120d7d861","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","COVERAGE_ONLY"
"орегано щепотка","1","1","1","dcluster_ef4cf8d013ec44fb25101069","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","NEAR_UNLOCK"
"помидоры черри","1","1","6","dcluster_ef4cf8d013ec44fb25101069","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","NEAR_UNLOCK"
"рис круглый непропаренный","1","1","1","dcluster_fe53ae043896783cc724a3b8","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","NEAR_UNLOCK"
"творог жирный","1","1","1","dcluster_373bb4326fab32d1fd0f4cf4","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","COVERAGE_ONLY"
"творог однородный жирный","1","1","1","dcluster_373bb4326fab32d1fd0f4cf4","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","COVERAGE_ONLY"
"тушенка","1","1","2","dcluster_d526f4ecacd2fb418fd6611f","NO_AUTHORITY_OR_EXISTING_ALIAS_REQUIRED","0","","COVERAGE_ONLY"
