normalizedIngredient,gapClass,occurrencesInCohort,clusterCount,identity,family,existingCandidateCount,requiredQualifier,recommendedNextAction
"ванилин","REAL_MISSING_PRODUCT","5","4","ванилин","ванилин","0","","catalog-gap review; do not create product in this task"
"филе","REAL_MISSING_PRODUCT","4","3","филе","филе","0","","catalog-gap review; do not create product in this task"
"Ванильный сахар","REAL_MISSING_PRODUCT","3","2","Ванильный сахар","","0","","catalog-gap review; do not create product in this task"
"Сахар ванильный","REAL_MISSING_PRODUCT","2","2","Сахар ванильный","","0","","catalog-gap review; do not create product in this task"
"Апельсиновая цедра","REAL_MISSING_PRODUCT","1","1","Апельсиновая цедра","","0","","catalog-gap review; do not create product in this task"
"Рис круглый, непропаренный","REAL_MISSING_PRODUCT","1","1","Рис круглый, непропаренный","","0","","catalog-gap review; do not create product in this task"
"Масло растительное (сливочное)","REAL_MISSING_PRODUCT","1","1","Масло растительное (сливочное)","","0","","catalog-gap review; do not create product in this task"
"Вустерширский соус","REAL_MISSING_PRODUCT","1","1","Вустерширский соус","","0","","catalog-gap review; do not create product in this task"
"лимонный сок","REAL_MISSING_PRODUCT","1","1","лимонный сок","лимонный сок","0","","catalog-gap review; do not create product in this task"
"Орегано,  щепотка","REAL_MISSING_PRODUCT","1","1","Орегано,  щепотка","","0","","catalog-gap review; do not create product in this task"
"помидоры черри","REAL_MISSING_PRODUCT","1","1","помидоры черри","помидоры черри","0","","catalog-gap review; do not create product in this task"
"Тушенка","REAL_MISSING_PRODUCT","1","1","Тушенка","","0","","catalog-gap review; do not create product in this task"
"зелень","REAL_MISSING_PRODUCT","1","1","зелень","зелень","0","","catalog-gap review; do not create product in this task"
"Масло сливочное (для смазывания формы)","SOURCE_NOISE","1","1","Масло сливочное (для смазывания формы)","","0","","catalog-gap review; do not create product in this task"
"Масло растительное рафинированное","REAL_MISSING_PRODUCT","1","1","Масло растительное рафинированное","","0","","catalog-gap review; do not create product in this task"
"Творог жирный","REAL_MISSING_PRODUCT","1","1","Творог жирный","","0","","catalog-gap review; do not create product in this task"
"или ванильный сахар","REAL_MISSING_PRODUCT","1","1","или ванильный сахар","","0","","catalog-gap review; do not create product in this task"
"Творог (однородный, жирный)","REAL_MISSING_PRODUCT","1","1","Творог (однородный, жирный)","","0","","catalog-gap review; do not create product in this task"
